A,B,D1,D2,D4,D5,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F35,G,0,1,2,3,4,0,1,2,3,0,1,2,3,4,5,6
1.5,2.3,263,1425,12.1,10.26,0.5,0.51,2.58,20,6,8,56,1.87,1.02,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.5,2.92,263,1425,9.7,10.34,0.5,0.51,2.62,20,6,8,56,1.86,1.02,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4.5,3.2,263,1425,7.9,10.44,0.5,0.52,2.66,20,6,8,56,1.84,1.01,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.3,3.32,263,1425,-1.1,10.5,0.5,0.52,2.7,20,6,8,56,1.83,1.0,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.3,4.11,263,1425,1.4,10.66,0.5,0.53,2.78,20,6,8,56,1.81,0.99,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.4,4.27,263,1425,7.0,10.75,0.5,0.54,2.81,20,6,8,56,1.8,0.99,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.1,4.6,263,1425,4.7,10.87,0.5,0.54,2.85,20,6,8,56,1.79,0.98,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.7,4.67,263,1425,13.7,10.99,0.5,0.55,2.89,20,6,8,56,1.77,0.97,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.8,4.48,263,1425,6.8,11.15,0.5,0.55,2.93,20,6,8,56,1.75,0.96,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.6,4.56,263,1425,11.8,11.31,0.5,0.55,2.97,20,6,8,56,1.72,0.94,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.5,4.25,263,1425,9.5,11.49,0.5,0.56,3.01,20,6,8,56,1.7,0.93,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.3,4.35,263,1425,9.5,11.64,0.5,0.56,3.05,20,6,8,56,1.67,0.91,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.9,4.27,263,1425,6.9,11.83,0.5,0.57,3.09,20,6,8,56,1.65,0.9,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.9,4.46,263,1425,5.0,11.99,0.5,0.57,3.04,20,6,8,56,1.62,0.89,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.7,4.16,263,1425,9.7,12.15,0.5,0.58,3.0,20,6,8,56,1.6,0.88,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.9,4.04,263,1425,5.2,12.33,0.5,0.58,2.95,20,6,8,56,1.58,0.86,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.4,4.01,263,1425,8.0,12.5,0.5,0.59,2.91,20,6,8,56,1.56,0.85,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
